movement speed: 0.2 | turn speed: 0.2 | turn resolution: 0.1 | goal resolution: 0.1husky position: 0.0 , 0.0 | husky orientation: 0.0 | angle to goal: 0.0
husky position: 0.0 , 0.0 | husky orientation: -0.647513 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.647707 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.647901 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.648144 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.648435 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.648629 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.648823 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.649163 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.649357 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.649648 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.64994 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.650085 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.650376 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.650619 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.650813 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.651104 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.651299 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.651638 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.651833 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.652027 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.652269 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.652561 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.652755 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.652949 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.653289 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.653483 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.653774 | angle to goal: 1.570796
